Freq,;Column1;Column2
9,64095E+17;9,04072976619803e+000;-5,42540872376878e+001
9,86552E+17;9,38964343128357e+000;-5,56544666137345e+001
1,00953E+18;9,73425728899225e+000;-5,70885955244706e+001
1,03305E+18;1,00742735914396e+001;-5,85564217833510e+001
1,05711E+18;1,04093844943929e+001;-6,00577597240163e+001
1,08173E+18;1,07392734826092e+001;-6,15922774947823e+001
1,10693E+18;1,10636171019462e+001;-6,31594848030220e+001
1,13271E+18;1,13820870247020e+001;-6,47587213534838e+001
1,1591E+18;1,16943524203818e+001;-6,63891466744241e+001
1,1861E+18;1,20000826630989e+001;-6,80497311361038e+001
1,21372E+18;1,22989503379602e+001;-6,97392491103561e+001
1,242E+18;1,25906345063406e+001;-7,14562743002807e+001
1,27093E+18;1,28748241887749e+001;-7,31991781592082e+001
1,30053E+18;1,31512220268912e+001;-7,49661310108846e+001
1,33082E+18;1,34195480147925e+001;-7,67551068770099e+001
1,36182E+18;1,36795432453437e+001;-7,85638918197969e+001
1,39354E+18;1,39309735608188e+001;-8,03900959852073e+001
1,426E+18;1,41736330203843e+001;-8,22311693525810e+001
1,45922E+18;1,44073470602831e+001;-8,40844212140370e+001
1,49321E+18;1,46319752765869e+001;-8,59470427202085e+001
1,52799E+18;1,48474137170073e+001;-8,78161323949265e+001
1,56358E+18;1,50535966139441e+001;-8,96887239118110e+001
1,6E+18;1,52504974970162e+001;-9,15618155322059e+001
1,63727E+18;1,54381296437834e+001;-9,34324004856324e+001
1,67541E+18;1,56165458528831e+001;-9,52974973359158e+001
1,71443E+18;1,57858375486652e+001;-9,71541798967519e+001
1,75437E+18;1,59461332507915e+001;-9,89996055580588e+001
1,79523E+18;1,60975964561006e+001;-1,00831041695993e+002
1,83705E+18;1,62404230110926e+001;-1,02645889213396e+002
1,87984E+18;1,63748380684397e+001;-1,04441703128843e+002
1,92362E+18;1,65010927069692e+001;-1,06216209475237e+002
1,96843E+18;1,66194603340441e+001;-1,07967318710659e+002
2,01428E+18;1,67302329574841e+001;-1,09693135210094e+002
2,0612E+18;1,68337174416423e+001;-1,11391963284897e+002
2,10921E+18;1,69302318109542e+001;-1,13062309490313e+002
2,15834E+18;1,70201017047885e+001;-1,14702881891105e+002
2,20861E+18;1,71036570286117e+001;-1,16312586352486e+002
2,26006E+18;1,71812288557421e+001;-1,17890520423583e+002
2,3127E+18;1,72531466304604e+001;-1,19435965033334e+002
2,36657E+18;1,73197356688157e+001;-1,20948374634110e+002
2,4217E+18;1,73813150012101e+001;-1,22427366020826e+002
2,47811E+18;1,74381955267352e+001;-1,23872706338267e+002
2,53583E+18;1,74906784861431e+001;-1,25284300468440e+002
2,5949E+18;1,75390542492139e+001;-1,26662178316647e+002
2,65534E+18;1,75836013618256e+001;-1,28006482019904e+002
2,71719E+18;1,76245858705707e+001;-1,29317453550413e+002
2,78048E+18;1,76622608699716e+001;-1,30595422633863e+002
2,84525E+18;1,76968662471251e+001;-1,31840795304727e+002
2,91152E+18;1,77286286179958e+001;-1,33054043157516e+002
2,97934E+18;1,77577613981909e+001;-1,34235693247788e+002
3,04874E+18;1,77844650118555e+001;-1,35386318901384e+002
3,11975E+18;1,78089271962278e+001;-1,36506531200003e+002
3,19242E+18;1,78313233889960e+001;-1,37596971319495e+002
3,26678E+18;1,78518171823941e+001;-1,38658303621910e+002
3,34287E+18;1,78705608195565e+001;-1,39691209510386e+002
3,42074E+18;1,78876957225642e+001;-1,40696381959929e+002
3,50042E+18;1,79033530474140e+001;-1,41674520714429e+002
3,58195E+18;1,79176542415190e+001;-1,42626328125648e+002
3,66539E+18;1,79307116053157e+001;-1,43552505509504e+002
3,75077E+18;1,79426288532565e+001;-1,44453750065359e+002
3,83813E+18;1,79535016488665e+001;-1,45330752216359e+002
3,92753E+18;1,79634181443769e+001;-1,46184193414174e+002
4,01902E+18;1,79724594847440e+001;-1,47014744273226e+002
4,11263E+18;1,79807003013082e+001;-1,47823063080654e+002
4,20843E+18;1,79882091753124e+001;-1,48609794578239e+002
4,30646E+18;1,79950490807455e+001;-1,49375569001933e+002
4,40677E+18;1,80012778032673e+001;-1,50121001360226e+002
4,50941E+18;1,80069483345954e+001;-1,50846690911322e+002
4,61445E+18;1,80121092398628e+001;-1,51553220783765e+002
4,72193E+18;1,80168050044309e+001;-1,52241157783239e+002
4,83192E+18;1,80210763560388e+001;-1,52911052312602e+002
4,94447E+18;1,80249605648093e+001;-1,53563438340420e+002
5,05964E+18;1,80284917238411e+001;-1,54198833568576e+002
5,1775E+18;1,80317010039301e+001;-1,54817739581647e+002
5,2981E+18;1,80346168986965e+001;-1,55420642083475e+002
5,42151E+18;1,80372654423205e+001;-1,56008011198698e+002
5,54779E+18;1,80396704160211e+001;-1,56580301813832e+002
5,67701E+18;1,80418535350618e+001;-1,57137953917096e+002
5,80925E+18;1,80438346236330e+001;-1,57681392992466e+002
5,94456E+18;1,80456317758180e+001;-1,58211030444663e+002
6,08303E+18;1,80472615011867e+001;-1,58727263972939e+002
6,22472E+18;1,80487388606714e+001;-1,59230478026349e+002
6,36971E+18;1,80500775908079e+001;-1,59721044207197e+002
6,51808E+18;1,80512902165682e+001;-1,60199321732543e+002
6,66991E+18;1,80523881576361e+001;-1,60665657810491e+002
6,82527E+18;1,80533818225609e+001;-1,61120388089776e+002
6,98425E+18;1,80542806973017e+001;-1,61563837059403e+002
7,14694E+18;1,80550934254839e+001;-1,61996318460141e+002
